fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas,estado_referencia
15/07/2026,Esc. Rio,Ecos Del Sur,1530,5:00 PM,14.00,,OK
15/07/2026,Escenario Rio,Granito,21.00,10:00 PM,8:00 PM,,OK
15/07/2026,Escenario Sol,Los Descalzos,1230,1300,1000,Artista confirmado,OK
16/07/2026,Escenario Rio,Altavoz,06.00,7:00,5:00 AM,  Requiere pantalla LED  ,OK
16/07/2026,Escenario Sol,Magma,12.30,13.00,10.00,,OK
16/07/2026,Esc. Río,Callejón Sin Salida,20:00,10:00 PM,,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Sol,Wavelength,1800,19.00,,Artista confirmado,OK
15/07/2026,Escenario Luna,Brújula,15:00,1600,1400,,OK
15/07/2026,Escenario Sol,Kilómetro Cero,16.00,1700,15:00,,OK
15/07/2026,Escenario Principal,Nómada,1130,1200,1000,Necesita piano de cola,OK
16/07/2026,Escenario Rio,Voltio,3:00 AM,04.00,01.00,Artista confirmado,OK
16/07/2026,Escenario Principal,Latido,20:00,9:30 PM,7:00 PM,  Sin requisitos especiales ,OK
17/07/2026,Main Stage,Fusión Latina,15:00,1730,13:00,Posible retraso,OK
15/07/2026,Main Stage,Zenit,2000,21:30,1800,Posible retraso,OK
16/07/2026,Escenario Bosque,Obsidiana,1700,7:00 PM,16:00,"
Cambio de última hora
",OK
17/07/2026,Esc. Sol,Tercer Acto,9:30 PM,2330,19:00,,OK
16/07/2026,Escenario Rio,Ecos Del Sur,23:00,0100,2100,   ,OK
17/07/2026,Escenario Rio,Fuego Lento,16.30,17:00,,Artista confirmado,OK
16/07/2026,Escenario Principal,Relámpago,12:30 PM,13:00,,Patrocinado por Red Bull,OK
16/07/2026,Escenario Principal,Espiral,10:00 PM,0:00 AM,21:00,,OK
17/07/2026,Escenario Rio,Viento Sur,18:00,18.00,,,OK
17/07/2026,Escenario Bosque,Voltio,19:00,21.30,,Posible retraso,OK
15/07/2026,Escenario Sol,Pandora,17:30,18:00,4:00 PM,,OK
15/07/2026,Escenario Luna,Brújula,17:30,19:30,16:00,,OK
16/07/2026,Escenario Bosque,The Electric Sheep,20.00,22:30,18:00,Artista confirmado,OK
16/07/2026,Escenario Luna,Sendero,,14:00,,,OK
16/07/2026,Escenario Sol,Xilófono,15:00,4:30 PM,1:00 PM,,OK
15/07/2026,Esc. Río,Iridiscente,1700,18:30,15:00,,OK
17/07/2026,Escenario Principal,Los Invisibles,1200,1300,1100,Patrocinado por Red Bull,OK
15/07/2026,Escenario Sol,Café Quemado,20:00,21:30,18.00,Patrocinado por Red Bull,OK
16/07/2026,Esc. Bosque,Beto Y Los Fugitivos,1300,14:00,12:00,Posible retraso,OK
15/07/2026,Esc. Luna,Bajo Presión,2:30 PM,3:00 PM,12:00,,OK
17/07/2026,Escenario Principal,Hipnosis,11:30,12.00,10:00,Posible retraso,OK
16/07/2026,Esc. Principal,Kometa,2130,10:00 PM,19:00,,OK
16/07/2026,Escenario Bosque,Horizonte,2200,0:00,2000,  Requiere pantalla LED  ,OK
17/07/2026,Escenario Principal,Fulgor,5:00 PM,18:00,1500,,OK
16/07/2026,Escenario Principal,Equinoccio,13.00,14:00,11:00 AM,Patrocinado por Red Bull,OK
16/07/2026,Esc. Río,Pulso Urbano,1430,1600,12:00,Patrocinado por Red Bull,OK
17/07/2026,Escenario Bosque,Los Pioneros,1830,7:30 PM,17.00,,OK
15/07/2026,Escenario Rio,Rapsodia,20:30,9:00 PM,7:00 PM,Necesita piano de cola,OK
17/07/2026,Escenario Rio,Titanio,12:30 PM,13:00,10:00,	Equipo propio de sonido	,OK
17/07/2026,Escenario Luna,Eclipse Total,21.30,23:30,7:00 PM,   ,OK
17/07/2026,Esc. Río,Clave De Sol,13:00,15.30,1200,IMPORTANTE: carga eléctrica extra,OK
16/07/2026,Escenario Principal,Amanecer,1630,1830,,Posible retraso,OK
15/07/2026,Escenario Luna,Alma Negra,20:00,21:30,19:00,   ,OK
16/07/2026,Escenario Sol,Loto,19:00,20.00,18:00,,OK
16/07/2026,Escenario Luna,El Circo Eléctrico,10:30 PM,00:00,,   ,OK
17/07/2026,Escenario Principal,Diáspora,18.00,20.30,16:00,IMPORTANTE: carga eléctrica extra,OK
17/07/2026,Esc. Rio,Obsidiana,23.00,0:30,21:00,,OK
FECHA INVÁLIDA,Escenario Principal,Cáctus,1900,22:00,,,OK
15/07/2026,Esc. Río,Los Eternos,11.00,13:00,9:00 AM,  Requiere pantalla LED  ,OK
17/07/2026,Escenario Principal,Grafito,2000,21.30,19.00,,OK
16/07/2026,Escenario Luna,Tempestad,21.00,22:30,2000,"
Cambio de última hora
",OK
16/07/2026,Esc. Bosque,Grieta,04.00,6:00,,,OK
16/07/2026,Escenario Rio,Ritmo Salvaje,18.00,22:00,,,OK
16/07/2026,Escenario Luna,Clave De Sol,17:00,1800,15.00,   ,OK
16/07/2026,Escenario Luna,Wavelength,15.00,1600,2:00 PM,Artista confirmado,OK
17/07/2026,Escenario Sol,Andén Cero,7:30 PM,21.30,1800,Necesita piano de cola,OK
15/07/2026,Esc. Bosque,Bumerán,19:00,9:00 PM,17.00,Artista confirmado,OK
15/07/2026,Escenario Río,Ónix,1:00 PM,15:00,11:00,  Sin requisitos especiales ,OK
16/07/2026,Escenario Bosque,Solsticio,02:00,04.00,0:00 AM,"
Cambio de última hora
",OK
16/07/2026,Escenario Sol,Sin Datos,,16:00,,,REVISAR
16/07/2026,Escenario Rio,Lava,02.00,0330,01:00,Artista confirmado,OK
16/07/2026,Escenario Principal,Los Olvidados,0030,1:00,23.00,  Sin requisitos especiales ,OK
17/07/2026,Escenario Principal,Iridiscente,13:00,2:30 PM,11:00,  Requiere pantalla LED  ,OK
17/07/2026,Escenario Sol,Sin Datos,21:00,20.00,,,REVISAR
15/07/2026,Esc. Bosque,Sin Datos,1300,13:00,,,REVISAR
15/07/2026,Esc. Rio,Ícaro,6:30 PM,19.00,,Patrocinado por Red Bull,OK
17/07/2026,Escenario Bosque,Los Satélites,1630,18.30,15.00,,OK
FECHA INVÁLIDA,Escenario Sol,Los Vagabundos,,,,,OK
15/07/2026,Escenario Principal,Kilómetro Cero,12:00,13:30,11:00 AM,,OK
16/07/2026,Escenario Principal,Lux,1800,20:00,1700,  Requiere pantalla LED  ,OK
FECHA INVÁLIDA,Escenario Bosque,Bermellón,,10:00 PM,,,OK
17/07/2026,Escenario Sol,Ritmo Salvaje,12:00,13.00,,IMPORTANTE: carga eléctrica extra,OK
17/07/2026,Escenario Luna,Melodía Errante,22:00,18.00,16:00,Error horario posible,OK
16/07/2026,Escenario Rio,Impulso,13.30,14.00,11:00 AM,   ,OK
15/07/2026,Escenario Luna,Cristal Roto,19.00,2000,18:00,  Requiere pantalla LED  ,OK
16/07/2026,Escenario Sol,Mala Hierba,17.00,18:00,16:00,Patrocinado por Red Bull,OK
17/07/2026,Esc. Río,Duende,3:30 PM,16:00,13:00,,OK
16/07/2026,Escenario Luna,Géminis,16:00,1700,14.00,,OK
15/07/2026,Escenario Bosque,Clave De Sol,11:00,1230,1000,	Equipo propio de sonido	,OK
17/07/2026,Escenario Sol,Atardecer,1800,19:00,16:00,,OK
